Feature,Frequency,Avg Feedback
t-4 Price,6,0.0007372001137285333
t-13 Vol,4,0.000915872106232075
t-1 Price,3,0.0007190959520058
t-10 Price,3,0.0003754340960334
t-3 Price,2,0.00053842279508485
t-1 ROC,2,0.00044155957972729997
t-4 ROC,1,0.0017804303736905
t-7 ROC,1,0.0014485160440648
t-3 Vol,1,0.0006848610927093
t-2 Price,1,0.0006762560922533
t-12 Vol,1,0.0006232607361931
t-9 Vol,1,0.000583452852204
t-6 Vol,1,0.0005804477753867
t-5 Price,1,0.0005659704238624
t-11 Vol,1,0.0005370116413224
t-6 ROC,1,0.000459796138108
t-7 Vol,1,0.0004488209597767
t-2 Vol,1,0.0004450578626649
t-10 Vol,1,0.0003898271465638
t-5 Vol,1,0.0003144961410321
t-13 ROC,1,0.0002736140505531
t-10 ROC,1,0.0002696461413583
t-11 ROC,1,0.000232906055655
t-7 Price,1,0.0001915901684762
t-9 Price,1,0.0001030849767922
