,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9051637227827412,0.07379921707925013,0.03815998150807654
1,y_Tp2_PriceChg,0.9118013626585315,0.0738043268845593,0.038256696131044945
2,y_Tp3_PriceChg,0.9139425656265814,0.07079313732730419,0.036342936355732915
3,y_Tp4_PriceChg,0.9028342754637437,0.0766280208016889,0.03973117588086027
4,y_Tp5_PriceChg,0.9072165537035703,0.07771947128448659,0.04038342502178142
5,y_Tp6_PriceChg,0.9043791111663657,0.0772531289574435,0.03983453127087869
6,y_Tp7_PriceChg,0.9014838181596591,0.079557131439241,0.04063367845430903
7,y_Tp8_PriceChg,0.9012365193433359,0.07966268092925427,0.04089130059493299
8,y_Tp9_PriceChg,0.8976342967838886,0.08239632598279756,0.042100383281656675
9,y_Tp10_PriceChg,0.8879380562341703,0.08159556372522242,0.04229948961554185
10,y_Tp11_PriceChg,0.9032910178077226,0.0804467251444149,0.04179253091583879
11,y_Tp12_PriceChg,0.8845583476637446,0.08539340482232889,0.04400942351929508
12,y_Tp13_PriceChg,0.8770160953194939,0.08656896702822435,0.044994653083928894
