Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3
t+1,t-2 ROC,0.0065723927979859,t-9 Vol,0.0017389825950915,t-7 Vol,0.0014067421332342
t+2,t-8 Vol,0.0203380313162547,t-10 ROC,0.0045068968578077,t-12 Vol,0.0017920400976397
t+3,t-12 Vol,0.0142042120759915,t-1 Vol,0.0036888176957795,t-13 Vol,0.0027914076931303
t+4,t-2 Vol,0.0078200782688129,t-3 Vol,0.0047647181157832,t-2 Price,0.0034729259106059
t+5,t-1 Price,0.0152768551711763,t-6 ROC,0.0149429326581148,t-4 ROC,0.0072761260241847
t+6,t-8 ROC,0.0029173251086647,t-9 Vol,0.0026368798138416,t-7 ROC,0.0016460109618611
t+7,t-4 ROC,0.0035680348226512,t-10 Vol,0.0022313610586549,t-13 Vol,0.0020238613023658
t+8,t-8 Price,0.011121160635845,t-8 Vol,0.0107191128810355,t-1 Vol,0.0048182750244997
t+9,t-1 Price,0.0099766896499476,t-8 Vol,0.0045918375151326,t-12 Vol,0.0016734348503291
t+10,t-6 ROC,0.010997095261474,t-4 ROC,0.0086812557864293,t-2 ROC,0.0063217377610093
t+11,t-2 Price,0.0209620890171604,t-5 ROC,0.0066422783733835,t-11 Price,0.0023913221736941
t+12,t-11 Vol,0.0094477142592637,t-1 Price,0.0075651721241159,t-10 Vol,0.0022400740020939
t+13,t-3 Vol,0.0118970403003048,t-3 ROC,0.0048096596875625,t-6 Price,0.0042487265286264
